question,answer_detail,answer
"A 28-year-old Caucasian male with a history of oral thrush presents to the gastroenterologist with painful swallowing Image (Figure A). An endoscopy is performed, which reveals ""punched out"" ulcerations on the esophagus (Figure B). Biopsy of one ulceration reveals eosinophilic intranuclear inclusions and multinucleated squamous cells at the edges of the ulcer. What is the most likely cause of this patient's dysphagia?",Herpes simplex virus 1,D
A 41-year-old male who takes NSAIDs regularly for his chronic back pain develops severe abdominal pain worse with eating. Upper endoscopy is performed and the medical student asks the supervising physician how the histological differentiation between a gastric ulcer and erosion is made. Which of the following layers of the gastric mucosa MUST be breached for a lesion to be considered an ulcer?,"Epithelium, lamina propria, muscularis mucosa, and submucosa",D
"A 58-year-old man establishes care with a family physician after acquiring health insurance for the first time recently. He has no specific complaints, received all his vaccinations as a child, and has never had any major illnesses or hospitalizations. He drinks 1-2 beers on Friday nights with his wife and does not smoke or do any drugs. On review of systems, he mentions that he experiences burning in his chest after eating spicy meals. This has been going on for about twenty years. He has never taken any medications, has tried to modify his diet slightly, but continues to experience symptoms almost daily. The family physician refers him to see a gastroenterologist, who performs an endoscopy, which is shown in Figure A.

Which of the following best describes what may be seen on the endoscopy?",Biopsy and histology of the epithelium is likely to show goblet cells,D
"A 47-year-old man presents to his primary care provider with difficulty swallowing. He reports a 5-month history of food getting stuck in his throat due to an inability to swallow. He has also felt more fatigued than usual. He has had to quit his swimming club due to tiredness. His past medical history is notable for hypertension, obesity, and a prior myocardial infarction. He takes enalapril, spironolactone, metoprolol, and hydrochlorothiazide. He has a 35-pack-year smoking history and occasionally drinks a glass of wine with dinner. His temperature is 99.1°F (37.3°C), blood pressure is 145/80 mmHg, pulse is 102/min, and respirations are 16/min. On exam, he is a tired-appearing man in no acute distress. No lymphadenopathy is noted. The patient is pale with concave nail beds on his fingers. An endoscopy is performed with results shown in Figure A. Which of the following additional findings is most strongly associated with this patient's condition?",Atrophic glossitis,A
"A 56-year-old man comes to the clinic complaining of intermittent abdominal pain for the past 2 months. He reports that the pain improves with oral intake and is concentrated at the epigastric area. The pain is described as gnawing in quality and improves when he takes his wife’s ranitidine. He denies weight changes, fever, chest pain, or recent travel but endorses “brain fog” and decreased libido. An upper endoscopy reveals ulcerations at the duodenum and jejunum. Physical examination demonstrates bilateral hemianopsia, gynecomastia, and diffuse pain upon palpation at the epigastric area. Laboratory findings are demonstrated below:

Serum:
Na+: 137 mEq/dL
Cl-: 96 mEq/L
K+: 3.9 mEq/dL
HCO3-: 25 mEq/L
Glucose: 110 mg/dL
Creatinine: .7 mg/dL
Ca2+: 13.5 mg/dL

What is the best explanation for this patient’s findings?",Mutation of the MEN1 gene,D
"A 45-year-old woman presents to her primary care physician for abdominal pain. Her pain began approximately 1 week prior to presentation and is located in the epigastric region. She has noticed that the pain worsens with eating and improves when she is not eating. Medical history is significant for rheumatoid arthritis, which she is being treated with methotrexate and ibuprofen. An endoscopy is performed and findings are shown in figure A. The patient is negative for Helicobacter pylori infection. Which of the following is the best treatment for facilitating the healing of this lesion found on endoscopy?",Dexlansoprazole,C
"A 62-year-old man presents to his primary care physician because of abdominal pain that started after he went camping several months ago and drank from a mountain stream. This past year, he also went on a trip around the world, eating local foods at each stop. Furthermore, he has had a history of cholelithiasis and had his gallbladder removed 3 years ago. Otherwise, his medical history is significant for well-controlled hypertension and diabetes. Based on clinical suspicion, an endoscopy and biopsy was performed showing a mix of mononuclear cells and a motile, urease-positive, oxidase-positive, spiral shaped organism. The changes seen on biopsy in this patient most likely predispose him to which of the following pathologies?",MALT lymphoma,D
"A 47-year-old man with a history of alcoholism undergoes an upper endoscopy, which reveals a superficial mucosal tear in the distal esophagus. Laboratory results show a metabolic alkalosis. What is the most likely mechanism of the acid/base disturbance in this patient?",Vomiting,C
"A 42-year-old man comes to his primary care physician complaining of abdominal pain. He describes intermittent, burning, epigastric pain over the past 4 months. He reports that the pain worsens following meals. He had an upper gastrointestinal endoscopy done 2 months ago that showed a gastric ulcer without evidence of malignancy. The patient was prescribed pantoprazole with minimal improvement in symptoms. He denies nausea, vomiting, diarrhea, or melena. The patient has no other medical problems. He had a total knee replacement 3 years ago following a motor vehicle accident for which he took naproxen for 2 months for pain management. He has smoked 1 pack per day since the age 22 and drinks 1-2 beers several nights a week with dinner. He works as a truck driver, and his diet consists of mostly of fast food. His family history is notable for hypertension in his paternal grandfather and coronary artery disease in his mother. On physical examination, the abdomen is soft, nondistended, and mildly tender in the mid-epigastric region. A stool test is positive for Helicobacter pylori antigen. In addition to antibiotic therapy, which of the following is the most likely to decrease the recurrence of the patient’s symptoms?",Smoking cessation,E
"A 56-year-old Caucasian woman presents to the clinic for complaints of abdominal pain for the past 3 months. The pain is intermittent 7/10, dull in quality, and concentrated in the epigastric region. She endorses a 5-lb. weight loss over the past several months but denies fever, headaches, nausea, vomiting, hematochezia, diarrhea, or constipation. She is a long-time smoker with a 13 pack-year history. She is a vegetarian and takes the appropriate vitamins. Her past medical history is significant for GERD and hypertension. An upper endoscopy study is performed and its findings are shown in Figure A. Which of the following attributes increases this patient’s risk for developing her current condition?",Smoking history,E
"A 57-year-old woman presents to her primary care physician with a chief complaint of epigastric pain that has worsened over the past three weeks. She describes it as sudden “gnawing” sensations that last for up to half a minute before subsiding. She finds some relief after a glass of water, but does not associate relief or exacerbation around mealtimes. The patient denies any radiation of the pain, fever, weight loss, fatigue, or change in stool color and quality. She does not take any medications, and says her diet includes lots of spicy and smoked foods. The physician refers her for an upper endoscopy, which reveals evidence of duodenal ulcers and mild gastroesophageal reflux. The pathology report reveals focal intestinal metaplasia and gastric dysplasia in the stomach, but no Helicobacter pylori infection. How should the physician advise this patient?","""Intestinal metaplasia and gastric dysplasia are reversible, requiring immediate medical therapy.""",D
"A 65-year-old man is brought to your office by his wife. He has not seen a doctor in decades. The patient has a longstanding history of “heartburn” following meals, for which he takes over-the-counter antacids. He is now having difficulty swallowing food. He has lost 15 pounds in the last three months. On further review, he has a 5 pack-year smoking history. He enjoys a beer with dinner several nights a week. An upper endoscopy is performed, with the finding shown in Figure A found just proximal to the gastroesophageal junction. Which of the following was the most important predisposing risk factor for his disease?",Gastroesophageal reflux disease,B
"A 49-year-old male complains of heartburn, epigastric pain, and diarrhea. He has a past medical history significant for heartburn that is nonresponsive to omeprazole. He denies any alcohol intake, and has not been taking any nonsteroidal anti-inflammatory drugs. An endoscopy is performed, which shows two ulcers in the proximal duodenum, and one in the distal third of the duodenum. Which of the following is most likely true about this patient’s current condition?",Parietal cell hypertrophy is likely present,D
An 18-year-old man presents with bloody diarrhea and weight loss. He undergoes endoscopic biopsy which shows pseudopolyps. Biopsies taken during the endoscopy show inflammation only involving the mucosa and submucosa. He is diagnosed with an inflammatory bowel disease. Which of the following was most likely found?,Rectal involvement,D
"A 53-year-old patient presents to his primary care provider with a 1-week history of abdominal pain at night and between meals. He has attempted taking antacids, which help briefly, but then the pain returns. The patient has not noticed any changes to the color of his stool but states that he has been having some loose bowel movements. The patient reports that he has had duodenal ulcers in the past and is concerned that this is a recurrence. On exam, his temperature is 98.4°F (36.9°C), blood pressure is 130/84 mmHg, pulse is 64/min, and respirations are 12/min. The abdomen is soft, nontender, and nondistended in clinic today. A fecal occult blood test is positive for blood in the stool. During outpatient workup, H. pylori stool antigen is negative, endoscopy demonstrates duodenal ulcers, and gastrin levels are elevated after a secretin stimulation test. Which of the following should also be examined in this patient?",Parathyroid hormone,B
A 31-year-old Caucasian male presents to his physician's complaining of heartburn and diarrhea for 2 months. He reports a history of tumors of the parathyroid and pituitary glands. Laboratory results show a serum gastrin level of 1600 pg/mL (normal 0-200 pg/mL) and an increased basal acid output to maximal acid output ratio (BAO/MAO). The findings on endoscopy are shown in Figure A along with multiple gastric ulcerations. Stomach pH is measured to be 1.1. What is the most likely diagnosis?,Zollinger-Ellison syndrome,C
"A 38-year-old man comes to the clinic complaining of recurrent abdominal pain for the past 2 months. He reports a gnawing, dull pain at the epigastric region that improves with oral ingestion. He has been taking calcium carbonate for the past few weeks; he claims that “it used to help a lot but it’s losing its effects now.” Laboratory testing demonstrated increased gastrin levels after the administration of secretin. A push endoscopy visualized several ulcers at the duodenum and proximal jejunum. What characteristics distinguish the jejunum from the duodenum?",Lack of submucosal Brunner glands,C
"A 47-year-old female presents to her primary care physician complaining of diarrhea and fatigue. She reports an eight-month history of increasingly frequent diarrhea, fatigue, and muscle weakness. She currently has over 15 episodes of watery diarrhea per day despite fasting. Her past medical history is notable for diabetes that is well controlled with metformin. Her temperature is 98.6°F (37°C), blood pressure is 100/70 mmHg, pulse is 95/min, and respirations are 18/min. Physical examination is notable for mild diffuse abdominal pain and facial flushing. An upper endoscopy is performed and the stomach is found to be less acidic than normal. In addition to correcting this patient’s dehydration, which of the following medications is most appropriate in the management of this patient?",Octreotide,A
"A 66-year-old man presents to the office complaining of abdominal pain. He reports that the pain is mid-epigastric and “gnawing.” It worsens after meals but improves “somewhat” with antacids. The patient’s medical history is significant for hypertension, hyperlipidemia, and gout. He takes aspirin, lisinopril, atorvastatin, and allopurinol. He uses ibuprofen during acute gout attacks and takes over the counter multivitamins. He also started drinking ginkgo tea once a week after his wife saw a news story on its potential benefits. The patient has a glass of whiskey after work 2 nights a week but denies tobacco or illicit drug use. An upper endoscopy is performed that reveals a gastric ulcer. A urease breath test is positive for Heliobacter pylori. The patient is prescribed bismuth subsalicylate, omeprazole, metronidazole, and tetracycline for 2 weeks. At follow-up, the patient continues to complain of abdominal pain. He has taken all his medications as prescribed along with 10-12 tablets of antacids a day. He denies hematemesis, hematochezia, or melena. Biopsy from the previous upper endoscopy was negative for malignancy. A repeat urease breath test is positive. Which of the following is the most likely cause for the patient’s poor treatment response?",Antacid use,C
