Event ID,Paragraph ID,Article ID,Head labels,Relation label,Tail labels,Head text,Relation text,Tail text,Sentence text,Group_relation_label
502,106,8,condition,IMPLIES,condition,recurrence,About 5% of patients have,strictures develop at the site of the ischemia,recurrence About 5% of patients have strictures develop at the site of the ischemia,IMPLIES
503,106,8,condition,CAUSES,treatment,strictures develop at the site of the ischemia,necessitating,surgical resection,strictures develop at the site of the ischemia necessitating surgical resection,CAUSES
504,107,9,condition,CAUSES,symptom,Ileus,causes,"nausea, vomiting, and vague abdominal discomfort","Ileus causes nausea, vomiting, and vague abdominal discomfort",CAUSES
505,107,9,risk factor,IMPLIES,condition,"abdominal surgery, particularly when the intestines have been manipulated",implies,Ileus,"abdominal surgery, particularly when the intestines have been manipulated implies Ileus",IMPLIES
506,107,9,condition,DIAGNOSED BY,diagnostic method,Ileus,diagnosed by,x-ray findings and clinical impression,Ileus diagnosed by x-ray findings and clinical impression,RECOMMENDATION
507,107,9,condition,TREATED WITH,treatment,Ileus,treated with,"supportive care, nasogastric suction, and IV fluids","Ileus treated with supportive care, nasogastric suction, and IV fluids",TREATMENT
508,108,9,condition,CAUSES,condition,abdominal surgery,is the most common cause of,ileus,abdominal surgery is the most common cause of ileus,CAUSES
509,108,9,condition,CAUSES,condition,intraperitoneal or retroperitoneal inflammation,causes,ileus,intraperitoneal or retroperitoneal inflammation causes ileus,CAUSES
510,108,9,condition,CAUSES,condition,retroperitoneal or intra-abdominal hematomas,causes,ileus,retroperitoneal or intra-abdominal hematomas causes ileus,CAUSES
511,108,9,condition,CAUSES,condition,metabolic disturbances,causes,ileus,metabolic disturbances causes ileus,CAUSES
512,108,9,treatment,CAUSES,condition,medications,causes,ileus,medications causes ileus,CAUSES
513,108,9,condition,CAUSES,condition,renal or thoracic disease,causes,ileus,renal or thoracic disease causes ileus,CAUSES
514,108,9,condition,IMPLIES,condition,appendicitis,is an example of,intraperitoneal or retroperitoneal inflammation,appendicitis is an example of intraperitoneal or retroperitoneal inflammation,IMPLIES
515,108,9,condition,IMPLIES,condition,diverticulitis,is an example of,intraperitoneal or retroperitoneal inflammation,diverticulitis is an example of intraperitoneal or retroperitoneal inflammation,IMPLIES
516,108,9,condition,IMPLIES,condition,perforated duodenal ulcer,is an example of,intraperitoneal or retroperitoneal inflammation,perforated duodenal ulcer is an example of intraperitoneal or retroperitoneal inflammation,IMPLIES
517,108,9,condition,IMPLIES,condition,ruptured abdominal aortic aneurysm,is an example of,retroperitoneal or intra-abdominal hematomas,ruptured abdominal aortic aneurysm is an example of retroperitoneal or intra-abdominal hematomas,IMPLIES
518,108,9,condition,IMPLIES,condition,blunt abdominal trauma,is an example of,retroperitoneal or intra-abdominal hematomas,blunt abdominal trauma is an example of retroperitoneal or intra-abdominal hematomas,IMPLIES
519,108,9,condition,IMPLIES,condition,hypokalemia,is an example of,metabolic disturbances,hypokalemia is an example of metabolic disturbances,IMPLIES
520,108,9,treatment,IMPLIES,treatment,opioids,is an example of,medications,opioids is an example of medications,IMPLIES
521,108,9,treatment,IMPLIES,treatment,anticholinergics,is an example of,medications,anticholinergics is an example of medications,IMPLIES
522,108,9,treatment,IMPLIES,treatment,calcium channel blockers,is an example of,medications,calcium channel blockers is an example of medications,IMPLIES
523,108,9,condition,IMPLIES,condition,lower rib fractures,is an example of,renal or thoracic disease,lower rib fractures is an example of renal or thoracic disease,IMPLIES
524,108,9,condition,IMPLIES,condition,lower lobe pneumonias,is an example of,renal or thoracic disease,lower lobe pneumonias is an example of renal or thoracic disease,IMPLIES
525,108,9,condition,IMPLIES,condition,myocardial infarction,is an example of,renal or thoracic disease,myocardial infarction is an example of renal or thoracic disease,IMPLIES
526,109,9,"condition, symptom",CAUSES,"condition, symptom",abdominal surgery,causes,gastric and colonic motility disturbances,abdominal surgery causes gastric and colonic motility disturbances,CAUSES
527,109,9,"condition, symptom",IMPLIES,"condition, symptom",gastric and colonic motility disturbances,implies,small bowel is least affected,gastric and colonic motility disturbances implies small bowel is least affected,IMPLIES
528,109,9,"condition, symptom",IMPLIES,"condition, symptom",small bowel is least affected,implies,motility and absorption return to normal within hours,small bowel is least affected implies motility and absorption return to normal within hours,IMPLIES
529,109,9,"condition, symptom",IMPLIES,"condition, symptom",stomach emptying is impaired,implies,impairment lasts for about 24 hours or more,stomach emptying is impaired implies impairment lasts for about 24 hours or more,IMPLIES
530,109,9,"condition, symptom",IMPLIES,"condition, symptom",colon is most affected,implies,colon may remain inactive for 48 to 72 hours or more,colon is most affected implies colon may remain inactive for 48 to 72 hours or more,IMPLIES
531,110,9,"condition, symptom",CAUSES,symptom,ileus,causes,abdominal distention,ileus causes abdominal distention,CAUSES
532,110,9,"condition, symptom",CAUSES,symptom,ileus,causes,nausea,ileus causes nausea,CAUSES
533,110,9,"condition, symptom",CAUSES,symptom,ileus,causes,vomiting,ileus causes vomiting,CAUSES
534,110,9,"condition, symptom",CAUSES,symptom,ileus,causes,vague discomfort,ileus causes vague discomfort,CAUSES
535,110,9,"condition, symptom",CAUSES,symptom,ileus,causes,obstipation,ileus causes obstipation,CAUSES
536,110,9,"condition, symptom",CAUSES,symptom,ileus,causes,passage of slight amounts of watery stool,ileus causes passage of slight amounts of watery stool,CAUSES
537,110,9,"condition, symptom",CAUSES,symptom,ileus,causes,silent abdomen or minimal peristalsis,ileus causes silent abdomen or minimal peristalsis,CAUSES
538,110,9,condition,NEGATES,symptom,ileus,does not cause,classic colicky pattern of pain,ileus does not cause classic colicky pattern of pain,NEGATES
539,110,9,condition,THRESHOLD,symptom,underlying cause is inflammatory,causes,tender abdomen,underlying cause is inflammatory causes tender abdomen,THRESHOLD
540,111,9,"condition, symptom",IMPLIES,"condition, complication",Postoperative accumulation of gas in the small bowel,implies,"development of a complication (e.g., obstruction, peritonitis)","Postoperative accumulation of gas in the small bowel implies development of a complication (e.g., obstruction, peritonitis)",IMPLIES
541,111,9,condition,AND,condition,ileus,and,intestinal obstruction,ileus and intestinal obstruction,AND
542,111,9,diagnostic tool,CAUSES,diagnostic outcome,contrast-enhanced CT,may help differentiate between,ileus and intestinal obstruction,contrast-enhanced CT may help differentiate between ileus and intestinal obstruction,CAUSES
543,111,9,condition,CAUSES,symptom,postoperative ileus,causes,gas may accumulate more in the colon than in the small bowel,postoperative ileus causes gas may accumulate more in the colon than in the small bowel,CAUSES
544,112,9,"condition, symptom",CAUSES,treatment,ileus,treatment involves,"continuous nasogastric suction, nothing by mouth, IV fluids and electrolytes, a minimal amount of sedatives, and avoidance of opioids and anticholinergic medications","ileus treatment involves continuous nasogastric suction, nothing by mouth, IV fluids and electrolytes, a minimal amount of sedatives, and avoidance of opioids and anticholinergic medications",CAUSES
545,112,9,condition,THRESHOLD,risk factor,ileus,maintaining an adequate serum potassium level,> 4 mEq/L [> 4.00 mmol/L],ileus maintaining an adequate serum potassium level > 4 mEq/L [> 4.00 mmol/L],THRESHOLD
546,112,9,condition,CAUSES,condition,ileus persisting > 1 week,probably has a mechanical obstructive cause,mechanical obstruction,ileus persisting > 1 week probably has a mechanical obstructive cause mechanical obstruction,CAUSES
547,112,9,condition,IMPLIES,treatment,ileus persisting > 1 week,laparotomy should be considered,laparotomy,ileus persisting > 1 week laparotomy should be considered laparotomy,IMPLIES
548,113,9,"condition, symptom",CAUSES,condition,pseudo-obstruction (Ogilvie syndrome),consists of,apparent obstruction at the splenic flexure,pseudo-obstruction (Ogilvie syndrome) consists of apparent obstruction at the splenic flexure,CAUSES
549,113,9,treatment,IMPLIES,condition,colonoscopic decompression,is helpful in treating,pseudo-obstruction (Ogilvie syndrome),colonoscopic decompression is helpful in treating pseudo-obstruction (Ogilvie syndrome),IMPLIES
550,113,9,treatment,IMPLIES,condition,IV neostigmine,to treat,Ogilvie syndrome,IV neostigmine to treat Ogilvie syndrome,IMPLIES
551,113,9,treatment,THRESHOLD,risk factor,IV neostigmine,requires,cardiac monitoring,IV neostigmine requires cardiac monitoring,THRESHOLD
552,113,9,condition,NEGATES,cause,pseudo-obstruction (Ogilvie syndrome),although no cause can be found by,contrast enema or colonoscopy,pseudo-obstruction (Ogilvie syndrome) although no cause can be found by contrast enema or colonoscopy,NEGATES
553,113,9,condition,OR,treatment,colonic ileus,can be relieved by,colonoscopic decompression,colonic ileus can be relieved by colonoscopic decompression,OR
554,113,9,condition,OR,treatment,colonic ileus,rarely requires,cecostomy,colonic ileus rarely requires cecostomy,OR
555,114,10,"condition, genetic disorder",CAUSES,"condition, cancer",MUTYH polyposis syndrome,is responsible for,1% of colorectal cancer,MUTYH polyposis syndrome is responsible for 1% of colorectal cancer,CAUSES
556,114,10,"condition, genetic disorder",IMPLIES,"symptom, condition",MUTYH polyposis syndrome,Manifestations are similar to,other forms of colorectal polyps or cancer,MUTYH polyposis syndrome Manifestations are similar to other forms of colorectal polyps or cancer,IMPLIES
557,114,10,"condition, genetic disorder",IMPLIES,diagnostic method,MUTYH polyposis syndrome,Diagnosis is by,genetic testing,MUTYH polyposis syndrome Diagnosis is by genetic testing,IMPLIES
558,114,10,"condition, genetic disorder",IMPLIES,preventive measure,MUTYH polyposis syndrome,Patients should have,surveillance colonoscopy and screening for other cancers,MUTYH polyposis syndrome Patients should have surveillance colonoscopy and screening for other cancers,IMPLIES
559,114,10,"condition, genetic disorder",IMPLIES,treatment,MUTYH polyposis syndrome,Treatment is,endoscopic removal or sometimes surgery,MUTYH polyposis syndrome Treatment is endoscopic removal or sometimes surgery,IMPLIES
560,115,10,condition,CAUSES,"risk factor, genetic mutation",MUTYH polyposis,is caused by,germline mutations of the MUTYH gene,MUTYH polyposis is caused by germline mutations of the MUTYH gene,CAUSES
561,115,10,genetic mutation,IMPLIES,genetic variant,germline mutations of the MUTYH gene,The most common variants are,Y179C and G396D,germline mutations of the MUTYH gene The most common variants are Y179C and G396D,IMPLIES
562,115,10,condition,IMPLIES,genetic status,MUTYH polyposis,Affected patients are,homozygous or compound heterozygous,MUTYH polyposis Affected patients are homozygous or compound heterozygous,IMPLIES
563,115,10,population,THRESHOLD,genetic mutation,About 1% of the population,carries one of the mutations,germline mutations of the MUTYH gene,About 1% of the population carries one of the mutations germline mutations of the MUTYH gene,THRESHOLD
564,116,10,"condition, symptom",IMPLIES,condition,numerous colon polyps,present with,colorectal cancer,numerous colon polyps present with colorectal cancer,IMPLIES
565,116,10,condition,THRESHOLD,risk factor,more than 10 adenomas,present in,7 to 40% of patients,more than 10 adenomas present in 7 to 40% of patients,THRESHOLD
566,116,10,condition,CAUSES,condition,numerous colon polyps,affected patients usually present with,colorectal cancer,numerous colon polyps affected patients usually present with colorectal cancer,CAUSES
567,117,10,condition,IMPLIES,risk factor,colon cancer,in addition to,"increased risk of gastroduodenal adenomas, osteomas, desmoid tumors, Muir-Torre phenotype with sebaceous gland tumors, and congenital hypertrophy of the retinal pigment epithelium","colon cancer in addition to increased risk of gastroduodenal adenomas, osteomas, desmoid tumors, Muir-Torre phenotype with sebaceous gland tumors, and congenital hypertrophy of the retinal pigment epithelium",IMPLIES
568,117,10,condition,IMPLIES,risk factor,colon cancer,in addition to,"risk of developing cancer of the ovary, bladder, thyroid, and skin","colon cancer in addition to risk of developing cancer of the ovary, bladder, thyroid, and skin",IMPLIES
569,118,10,"condition, genetic disorder",CAUSES,"symptom, sign",MUTYH polyposis syndrome,causes,symptoms and signs similar to those of colorectal polyps or colorectal cancer,MUTYH polyposis syndrome causes symptoms and signs similar to those of colorectal polyps or colorectal cancer,CAUSES
570,119,10,"condition, diagnosis",REQUIRES,"treatment, procedure",diagnosis,is required to establish,Genetic testing,diagnosis is required to establish Genetic testing,THRESHOLD
571,119,10,"condition, risk factor",CAUSES,procedure,spouse of an affected patient,may be cost-effective for,testing for the MUTYH gene,spouse of an affected patient may be cost-effective for testing for the MUTYH gene,CAUSES
572,119,10,"condition, genetic trait",IMPLIES,procedure,spouse is heterozygous,implies,their children should have genetic testing,spouse is heterozygous implies their children should have genetic testing,IMPLIES
573,120,10,"condition, risk factor",IMPLIES,"treatment, procedure",Affected patients,should have,surveillance colonoscopy every 1 to 2 years starting at age 25 to 30,Affected patients should have surveillance colonoscopy every 1 to 2 years starting at age 25 to 30,IMPLIES
574,120,10,"condition, risk factor",IMPLIES,"treatment, procedure",Affected patients,should have,upper endoscopy starting at age 30 to 35,Affected patients should have upper endoscopy starting at age 30 to 35,IMPLIES
575,120,10,"condition, risk factor",THRESHOLD,"treatment, procedure",presence of gastroduodenal polyps,depends on,frequency of upper endoscopy,presence of gastroduodenal polyps depends on frequency of upper endoscopy,THRESHOLD
576,120,10,"condition, risk factor",IMPLIES,"treatment, procedure",Fundic gland polyps,should be biopsied for,dysplasia,Fundic gland polyps should be biopsied for dysplasia,IMPLIES
577,121,10,"treatment, procedure",IMPLIES,"condition, risk factor",Annual thyroid screening with physical examination and ultrasonography,is recommended for,thyroid-related conditions or risk factors,Annual thyroid screening with physical examination and ultrasonography is recommended for thyroid-related conditions or risk factors,IMPLIES
578,121,10,"treatment, procedure",IMPLIES,"condition, risk factor","surveillance for ovarian, bladder, and skin cancers",is frequently undergone by patients with,"risk factors for ovarian, bladder, and skin cancers","surveillance for ovarian, bladder, and skin cancers is frequently undergone by patients with risk factors for ovarian, bladder, and skin cancers",IMPLIES
579,121,10,"condition, risk factor",NEGATES,guideline,"ovarian, bladder, and skin cancers",have no consensus guidelines for,specific frequency of surveillance,"ovarian, bladder, and skin cancers have no consensus guidelines for specific frequency of surveillance",NEGATES
580,122,10,risk factor,IMPLIES,condition,Monoallelic carriers,are screened for,colorectal cancer,Monoallelic carriers are screened for colorectal cancer,IMPLIES
581,123,10,"treatment, procedure",IMPLIES,condition,Endoscopic management,is the main treatment of,MUTYH polyposis syndrome,Endoscopic management is the main treatment of MUTYH polyposis syndrome,IMPLIES
582,123,10,condition,OR,condition,cancer is present,or,the polyp burden is too large,cancer is present or the polyp burden is too large,OR
583,123,10,condition,IMPLIES,"treatment, procedure",cancer is present or the polyp burden is too large,surgical resection is needed,surgical resection,cancer is present or the polyp burden is too large surgical resection is needed surgical resection,IMPLIES
584,123,10,"treatment, procedure",THRESHOLD,condition,"Partial, subtotal, or total colectomy",depending on the extent and burden of,disease,"Partial, subtotal, or total colectomy depending on the extent and burden of disease",THRESHOLD
585,124,10,resource,IMPLIES,"guidelines, genetic testing, management",American Gastroenterological Association: Guidelines for genetic testing and management of hereditary gastrointestinal cancer syndromes (2015),provides,guidelines for genetic testing and management,American Gastroenterological Association: Guidelines for genetic testing and management of hereditary gastrointestinal cancer syndromes (2015) provides guidelines for genetic testing and management,IMPLIES
586,125,11,"condition, anatomical structure",CAUSES,symptom,intestinal polyp,causes,minor bleeding,intestinal polyp causes minor bleeding,CAUSES
587,125,11,condition,IMPLIES,risk factor,intestinal polyp,implies,malignant transformation,intestinal polyp implies malignant transformation,IMPLIES
588,125,11,condition,CAUSES,condition,adenomatous polyp,causes,colon cancer,adenomatous polyp causes colon cancer,CAUSES
589,125,11,condition,DIAGNOSED BY,procedure,intestinal polyp,diagnosed by,endoscopy,intestinal polyp diagnosed by endoscopy,RECOMMENDATION
590,125,11,condition,TREATED BY,treatment,intestinal polyp,treated by,endoscopic removal,intestinal polyp treated by endoscopic removal,TREATMENT
591,126,11,"condition, anatomical_location",CAUSES,condition,Multiple polyps in the rectum and sigmoid,may represent,familial adenomatous polyposis,Multiple polyps in the rectum and sigmoid may represent familial adenomatous polyposis,CAUSES
592,126,11,condition,IMPLIES,condition,cancer of the large bowel,also have,satellite adenomatous polyps,cancer of the large bowel also have satellite adenomatous polyps,IMPLIES
593,126,11,condition,AND,condition,sessile polyps,or,pedunculated polyps,sessile polyps or pedunculated polyps,AND
594,126,11,condition,THRESHOLD,condition,very small polyps,usually,hyperplastic polyps or adenomas,very small polyps usually hyperplastic polyps or adenomas,THRESHOLD
595,127,11,"condition, risk factor",IMPLIES,"condition, risk factor",adenomatous (neoplastic) polyps,are of greatest concern,likelihood of cancer,adenomatous (neoplastic) polyps are of greatest concern likelihood of cancer,IMPLIES
596,127,11,condition,CAUSES,condition,adenomatous polyp,related to,cancer,adenomatous polyp related to cancer,CAUSES
597,127,11,condition,THRESHOLD,risk factor,1.5-cm tubular adenoma,has a,2% risk of containing a cancer,1.5-cm tubular adenoma has a 2% risk of containing a cancer,THRESHOLD
598,127,11,condition,THRESHOLD,risk factor,3-cm villous adenomas,has a,35% risk of containing a cancer,3-cm villous adenomas has a 35% risk of containing a cancer,THRESHOLD
599,127,11,condition,DEVELOPS_FROM,condition,serrated adenomas,may develop from,hyperplastic polyps,serrated adenomas may develop from hyperplastic polyps,CAUSES
600,128,11,"condition, risk factor",CAUSES,symptom,Juvenile polyps,occur in,children,Juvenile polyps occur in children,CAUSES
601,128,11,condition,CAUSES,symptom,Juvenile polyps,outgrow their blood supply and autoamputate,during or after puberty,Juvenile polyps outgrow their blood supply and autoamputate during or after puberty,CAUSES
602,128,11,condition,CAUSES,treatment,Juvenile polyps,require treatment for,uncontrollable bleeding or intussusception,Juvenile polyps require treatment for uncontrollable bleeding or intussusception,CAUSES
603,128,11,condition,CAUSES,condition,Inflammatory polyps and pseudopolyps,occur in,chronic ulcerative colitis and Crohn disease of the colon,Inflammatory polyps and pseudopolyps occur in chronic ulcerative colitis and Crohn disease of the colon,CAUSES
604,128,11,condition,CAUSES,risk factor,Multiple juvenile polyps,convey,increased cancer risk,Multiple juvenile polyps convey increased cancer risk,CAUSES
605,128,11,condition,NEGATES,risk factor,Sporadic juvenile polyps,do not convey,increased cancer risk,Sporadic juvenile polyps do not convey increased cancer risk,NEGATES
606,129,11,"condition, symptom",IMPLIES,condition,Most polyps are asymptomatic,implies,polyps,Most polyps are asymptomatic implies polyps,IMPLIES
607,129,11,condition,CAUSES,symptom,Rectal polyps,causes,"rectal bleeding, usually occult and rarely massive","Rectal polyps causes rectal bleeding, usually occult and rarely massive",CAUSES
608,129,11,condition,CAUSES,symptom,Large lesion,causes,"cramps, abdominal pain, or obstruction","Large lesion causes cramps, abdominal pain, or obstruction",CAUSES
609,129,11,condition,IMPLIES,diagnostic method,Rectal polyps,implies,palpable by digital examination,Rectal polyps implies palpable by digital examination,IMPLIES
610,129,11,condition,CAUSES,symptom,Polyp on a long pedicle,causes,prolapse through the anus,Polyp on a long pedicle causes prolapse through the anus,CAUSES
611,129,11,condition,CAUSES,symptom,Large villous adenomas,causes,watery diarrhea,Large villous adenomas causes watery diarrhea,CAUSES
612,129,11,symptom,CAUSES,condition,Watery diarrhea,causes,hypokalemia,Watery diarrhea causes hypokalemia,CAUSES
613,130,11,"condition, diagnostic procedure",IMPLIES,"condition, diagnostic procedure",Diagnosis of colonic polyps,is usually made by,colonoscopy,Diagnosis of colonic polyps is usually made by colonoscopy,IMPLIES
614,130,11,diagnostic procedure,CAUSES,treatment,colonoscopy,allows,removal of polyps,colonoscopy allows removal of polyps,CAUSES
615,130,11,condition,AND,condition,rectal polyps,may coexist with,cancer,rectal polyps may coexist with cancer,AND
616,130,11,condition,THRESHOLD,diagnostic procedure,distal lesion found by flexible sigmoidoscopy,requires,complete colonoscopy to the cecum,distal lesion found by flexible sigmoidoscopy requires complete colonoscopy to the cecum,THRESHOLD
617,130,11,diagnostic procedure,IMPLIES,diagnostic procedure,"Barium enema, particularly double-contrast examination","is effective, but",colonoscopy is preferred,"Barium enema, particularly double-contrast examination is effective, but colonoscopy is preferred",IMPLIES
618,130,11,diagnostic procedure,IMPLIES,diagnostic procedure,colonoscopy,is preferred because,polyps may be removed during that procedure,colonoscopy is preferred because polyps may be removed during that procedure,IMPLIES
619,130,11,diagnostic procedure,CAUSES,diagnostic procedure,During colonoscopy,any polyps seen are removed and,evaluated for possible cancer,During colonoscopy any polyps seen are removed and evaluated for possible cancer,CAUSES
620,131,11,"condition, symptom",CAUSES,treatment,Polyps,should be removed completely with,a snare or biopsy forceps during total colonoscopy,Polyps should be removed completely with a snare or biopsy forceps during total colonoscopy,CAUSES
621,131,11,treatment,IMPLIES,treatment,Colonoscopic removal is unsuccessful,then,laparotomy should be done,Colonoscopic removal is unsuccessful then laparotomy should be done,IMPLIES
622,131,11,condition,IMPLIES,treatment,"Dysplastic epithelium does not invade the muscularis mucosa, the line of resection in the polyp’s stalk is clear, and the lesion is well differentiated",then,endoscopic excision and close endoscopic follow-up should suffice,"Dysplastic epithelium does not invade the muscularis mucosa, the line of resection in the polyp’s stalk is clear, and the lesion is well differentiated then endoscopic excision and close endoscopic follow-up should suffice",IMPLIES
623,131,11,condition,IMPLIES,treatment,"Deeper invasion, an unclear resection line, or a poorly differentiated lesion",then,segmental resection of the colon,"Deeper invasion, an unclear resection line, or a poorly differentiated lesion then segmental resection of the colon",IMPLIES
624,131,11,condition,CAUSES,risk factor,Invasion through the muscularis mucosa,provides access to,lymphatics and increases the potential for lymph node metastasis,Invasion through the muscularis mucosa provides access to lymphatics and increases the potential for lymph node metastasis,CAUSES
625,131,11,condition,IMPLIES,treatment,Invasion through the muscularis mucosa,then,further evaluation (as in colon cancer),Invasion through the muscularis mucosa then further evaluation (as in colon cancer),IMPLIES
626,132,11,"condition, treatment",IMPLIES,treatment,removal of a tubular adenoma ≥ 10 mm or a villous adenoma of any size,guidelines recommend,repeat total colonoscopy (or barium enema if total colonoscopy is impossible) 3 years after,removal of a tubular adenoma ≥ 10 mm or a villous adenoma of any size guidelines recommend repeat total colonoscopy (or barium enema if total colonoscopy is impossible) 3 years after,IMPLIES
627,133,11,"treatment, medication",IMPLIES,"condition, risk factor",Aspirin and COX-2 inhibitors,may help prevent formation of,new polyps in patients with polyps or colon cancer,Aspirin and COX-2 inhibitors may help prevent formation of new polyps in patients with polyps or colon cancer,IMPLIES
628,133,11,"treatment, medication",CAUSES,"adverse effect, risk factor",Aspirin and COX-2 inhibitors,must be weighed against the potential adverse effects,"bleeding, renal dysfunction","Aspirin and COX-2 inhibitors must be weighed against the potential adverse effects bleeding, renal dysfunction",CAUSES
629,134,12,"condition, symptom",IMPLIES,condition,Rectal prolapse,is,painless protrusion of the rectum through the anus,Rectal prolapse is painless protrusion of the rectum through the anus,IMPLIES
630,134,12,condition,IMPLIES,condition,Procidentia,is,complete prolapse of the entire thickness of the rectum,Procidentia is complete prolapse of the entire thickness of the rectum,IMPLIES
631,134,12,condition,CAUSES,diagnosis,Rectal prolapse,Diagnosis is by,inspection,Rectal prolapse Diagnosis is by inspection,CAUSES
632,134,12,condition,CAUSES,treatment,Rectal prolapse,Surgery is usually required in,adults,Rectal prolapse Surgery is usually required in adults,CAUSES
633,135,12,"condition, symptom",IMPLIES,population,"Transient, minor prolapse of just the rectal mucosa",often occurs in,otherwise normal infants,"Transient, minor prolapse of just the rectal mucosa often occurs in otherwise normal infants",IMPLIES
634,135,12,"condition, symptom",IMPLIES,population,Mucosal prolapse,in,adults,Mucosal prolapse in adults,IMPLIES
635,135,12,"condition, symptom",CAUSES,progression,Mucosal prolapse in adults,may progressively worsen,progressively worsen,Mucosal prolapse in adults may progressively worsen progressively worsen,CAUSES
636,136,12,condition,DEFINITION,condition,Procidentia,is complete prolapse of the entire thickness of,the rectum,Procidentia is complete prolapse of the entire thickness of the rectum,CLASSIFICATION
637,136,12,condition,CAUSES,unknown,Procidentia,The primary cause of,is unclear,Procidentia The primary cause of is unclear,CAUSES
638,136,12,condition,RISK FACTOR,demographic,Procidentia,Most patients are,women over 60,Procidentia Most patients are women over 60,CAUSES
639,137,12,"condition, symptom",CAUSES,symptom,rectal prolapse and procidentia,is the most prominent symptom of,protrusion,rectal prolapse and procidentia is the most prominent symptom of protrusion,CAUSES
640,137,12,condition,CAUSES,symptom,rectal prolapse and procidentia,can cause,rectal bleeding,rectal prolapse and procidentia can cause rectal bleeding,CAUSES
641,137,12,condition,CAUSES,symptom,rectal prolapse and procidentia,can cause,incontinence,rectal prolapse and procidentia can cause incontinence,CAUSES
642,137,12,condition,NEGATES,symptom,rectal prolapse and procidentia,is uncommon unless,pain,rectal prolapse and procidentia is uncommon unless pain,NEGATES
643,137,12,condition,THRESHOLD,symptom,significant prolapse,causes,pain,significant prolapse causes pain,THRESHOLD
644,137,12,condition,THRESHOLD,symptom,incarceration,causes,pain,incarceration causes pain,THRESHOLD
645,138,12,condition,IMPLIES,symptom,Rectal procidentia,can be distinguished by,presence of circumferential mucosal folds,Rectal procidentia can be distinguished by presence of circumferential mucosal folds,IMPLIES
646,138,12,condition,CAUSES,symptom,Rectal procidentia,is associated with,diminished anal sphincter tone,Rectal procidentia is associated with diminished anal sphincter tone,CAUSES
647,139,12,"treatment, diagnostic procedure",IMPLIES,"condition, disease","Sigmoidoscopy, colonoscopy, or barium enema x-rays of the colon",must be done to search for,other disease,"Sigmoidoscopy, colonoscopy, or barium enema x-rays of the colon must be done to search for other disease",IMPLIES
648,139,12,"condition, disease",CAUSES,"condition, disease","Primary neurologic disorders (e.g., spinal cord tumors)",should be considered,other disease,"Primary neurologic disorders (e.g., spinal cord tumors) should be considered other disease",CAUSES
649,140,12,"condition, symptom",CAUSES,condition,straining,Causes,prolapse,straining Causes prolapse,CAUSES
650,140,12,treatment,IMPLIES,outcome,conservative treatment,is most satisfactory,spontaneous resolution of the prolapse,conservative treatment is most satisfactory spontaneous resolution of the prolapse,IMPLIES
651,140,12,treatment,AND,treatment,strapping the buttocks together with tape,facilitates,spontaneous resolution of the prolapse,strapping the buttocks together with tape facilitates spontaneous resolution of the prolapse,AND
652,141,12,condition,CAUSES,treatment,simple mucosal prolapse in adults,can be excised,excess mucosa,simple mucosal prolapse in adults can be excised excess mucosa,CAUSES
653,141,12,condition,CAUSES,treatment,procidentia,may require,rectopexy,procidentia may require rectopexy,CAUSES
654,141,12,treatment,IMPLIES,condition,rectopexy,in which,the rectum is mobilized and fixed to the sacrum,rectopexy in which the rectum is mobilized and fixed to the sacrum,IMPLIES
655,141,12,condition,THRESHOLD,treatment,patients who can tolerate a laparotomy,may require,rectopexy,patients who can tolerate a laparotomy may require rectopexy,THRESHOLD
656,141,12,condition,THRESHOLD,treatment,patients who cannot tolerate a laparotomy,can be considered,"perineal operations (e.g., Delorme or Altemeier procedure)","patients who cannot tolerate a laparotomy can be considered perineal operations (e.g., Delorme or Altemeier procedure)",THRESHOLD
657,143,13,"treatment, procedure",IMPLIES,"equipment, technology",CT scan,uses,x-ray source and x-ray detector,CT scan uses x-ray source and x-ray detector,IMPLIES
658,143,13,"equipment, technology",CAUSES,"outcome, benefit",more detectors,allow,quicker scanning and higher-resolution images,more detectors allow quicker scanning and higher-resolution images,CAUSES
659,143,13,"outcome, benefit",IMPLIES,"importance, application",higher-resolution images,are important for,imaging the heart and abdominal organs,higher-resolution images are important for imaging the heart and abdominal organs,IMPLIES
660,144,13,"treatment, diagnostic tool",IMPLIES,"condition, diagnostic outcome",x-ray images taken from multiple angles,implies,2-dimensional images (tomograms) representing a slice of the body,x-ray images taken from multiple angles implies 2-dimensional images (tomograms) representing a slice of the body,IMPLIES
661,145,13,"procedure, technology",IMPLIES,"procedure, technology",table moves incrementally and stops when each scan (slice) is taken,implies,data are collected in a non-continuous sequence,table moves incrementally and stops when each scan (slice) is taken implies data are collected in a non-continuous sequence,IMPLIES
662,145,13,"procedure, technology",IMPLIES,"procedure, technology",table moves continuously during scanning,implies,data are collected in a spiral or helical sequence,table moves continuously during scanning implies data are collected in a spiral or helical sequence,IMPLIES
663,145,13,"procedure, technology",CAUSES,"procedure, technology",patient is moving in a straight line and the detectors are moving in a circle,causes,data are collected in a spiral or helical sequence around the patient,patient is moving in a straight line and the detectors are moving in a circle causes data are collected in a spiral or helical sequence around the patient,CAUSES
664,146,13,"treatment, imaging technique",IMPLIES,imaging technique,radionuclide scanning,can be applied to,tomographic imaging,radionuclide scanning can be applied to tomographic imaging,IMPLIES
